Australian Bureau of Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total,pop,bach.count,bach
West Coast (SA),9,25,162,143,454,1041,7,302,65,267,674,3143,2202,196,8.900999092
Ayr,38,60,456,333,1493,2666,5,999,163,416,1517,8143,6210,554,8.921095008
Brookton,18,26,166,159,433,1171,6,296,76,195,606,3146,2345,210,8.955223881
Newcomb - Moolap,94,117,692,825,2461,3849,22,1719,286,736,2065,12873,10072,903,8.965448769
Melton,143,136,778,1067,2787,4824,30,1546,473,704,3469,15952,11779,1057,8.97359708
Merbein,20,46,220,247,733,1256,8,537,115,249,855,4289,3185,286,8.979591837
APY Lands,22,9,77,41,107,593,0,266,83,391,499,2092,1202,108,8.985024958
Gympie - North,106,95,639,750,2208,3847,16,1386,286,560,2572,12479,9347,840,8.986840698
Gracemere,66,80,504,496,1878,3220,3,761,194,319,2890,10422,7213,650,9.011507001
Tatiara,19,44,322,386,904,1916,3,540,141,256,1127,5650,4267,385,9.022732599
Port Augusta,75,106,575,512,1981,3708,15,1130,275,779,2369,11518,8370,756,9.032258065
Grant,40,43,245,251,869,1547,8,504,122,224,1003,4853,3626,328,9.045780474
Manjimup,46,47,234,236,792,1677,4,451,118,226,1022,4852,3604,327,9.073251942
Rosewood,103,83,527,732,1985,3223,11,951,248,462,2004,10324,7858,713,9.073555612
Quirindi,49,44,365,381,1040,2083,13,888,199,484,1320,6849,5045,458,9.078295342
Murray Bridge Region,27,30,173,209,634,1047,4,326,81,165,587,3285,2533,230,9.080142124
Harvey,41,66,399,422,1363,2452,4,636,182,374,1499,7444,5571,506,9.082749955
Wilsonton,74,85,663,663,1979,3816,13,1380,343,581,2322,11933,9030,822,9.102990033
Johnstone,39,64,377,378,1395,2181,3,679,163,351,1336,6956,5269,480,9.109888024
Wentworth-Balranald Region,25,28,153,143,457,967,7,435,58,182,621,3064,2261,206,9.111012826
Northern Highlands,16,21,155,123,406,990,0,324,72,140,512,2759,2107,192,9.112482202
Karoonda - Lameroo,15,22,150,136,378,942,0,365,42,136,475,2660,2049,187,9.126403123
Beachmere - Sandstone Point,138,110,678,915,2575,4105,10,1229,372,635,2230,13003,10138,926,9.13395147
Goyder,31,25,208,240,574,1260,5,439,92,200,672,3751,2879,264,9.169850643
Gingin - Dandaragan,46,51,400,409,1317,2425,9,537,222,386,1233,7023,5404,497,9.196891192
Lavington,103,113,665,728,2433,3712,24,1431,366,676,2277,12521,9568,881,9.20777592
Yarramundi - Londonderry,77,37,278,324,1182,1615,9,591,141,186,1200,5639,4253,392,9.217023278
Mowbray,27,20,151,137,431,953,4,332,83,147,501,2792,2144,198,9.235074627
West Ulverstone,48,38,189,190,671,1210,6,541,88,179,659,3814,2976,275,9.240591398
Wyong,68,57,400,473,1309,2278,16,847,227,409,1512,7595,5674,525,9.252731759
Gatton,70,29,284,245,740,1883,4,751,125,307,1074,5514,4133,383,9.266876361
Morawa,17,25,195,186,516,1272,0,251,90,220,648,3425,2557,237,9.268674228
Red Cliffs,27,60,261,283,857,1476,8,660,117,346,1043,5136,3747,348,9.287429944
Maryborough Region,44,50,250,261,895,1444,7,638,108,304,720,4727,3703,344,9.289765055
Casino Region,52,54,324,343,1100,1785,10,814,147,353,1148,6129,4628,430,9.291270527
Numurkah,69,144,550,711,1873,3233,15,1380,224,710,2083,11005,8212,763,9.291281052
Mildura Region,23,23,183,185,502,1055,4,438,56,207,584,3250,2459,229,9.312728752
Quoiba - Spreyton,11,34,149,181,606,807,0,243,60,102,508,2693,2083,194,9.313490158
East Bunbury - Glen Iris,48,45,332,332,1190,1948,5,485,161,209,1150,5917,4558,425,9.324265029
Waverley - St Leonards,28,18,175,151,564,1015,0,346,65,155,657,3179,2367,221,9.336713139
Rockhampton Region - West,17,26,144,135,483,891,3,244,48,148,510,2658,2000,187,9.35
