Australian Bureau of Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total,pop,bach.count,bach
Boonah,120,112,712,712,1775,3197,9,1261,225,529,2077,10722,8116,944,11.63134549
Bray Park,96,102,569,664,1668,2796,7,490,194,301,2031,8917,6585,767,11.64768413
Ashburton (WA),110,83,634,596,2959,2290,0,231,198,232,1525,8854,7097,827,11.65281105
Young Region,77,51,454,423,1040,1920,10,824,181,490,1184,6663,4989,582,11.66566446
Kempsey Region,97,84,542,527,1590,2157,17,958,239,487,1273,7954,6194,723,11.67258637
Albion Park - Macquarie Pass,168,128,841,974,2740,3484,12,975,407,473,3033,13243,9737,1137,11.67710794
Ulverstone,76,65,429,390,1103,1829,15,832,148,401,1084,6366,4881,570,11.67793485
Wendouree - Miners Rest,136,177,823,708,2174,3805,12,1615,272,788,2638,13150,9724,1136,11.68243521
Esperance Region,15,28,217,184,431,1069,5,193,79,121,694,3040,2225,260,11.68539326
Camira - Gailes,99,77,514,563,1447,2475,7,500,210,237,1610,7748,5901,690,11.6929334
Southern Downs - East,43,31,263,240,579,1251,5,390,81,213,711,3803,2879,337,11.70545328
Gawler - South,231,213,1150,1336,3023,5587,17,1593,447,735,3259,17598,13604,1594,11.71714202
North Haven,157,137,905,908,2334,4251,13,1153,371,554,2002,12783,10227,1199,11.72386819
St Albans - North,184,93,952,781,1582,4084,17,2074,715,812,2467,13758,10479,1229,11.72821834
Middle Swan - Herne Hill,58,44,302,313,782,1474,0,343,121,178,830,4452,3444,404,11.73054588
St Helens - Scamander,68,55,380,315,973,1646,3,685,157,347,792,5423,4284,503,11.74136321
Bribie Island,228,215,1081,1269,2801,5164,22,1723,475,1019,1796,15789,12974,1524,11.74657006
Port Macquarie - West,211,135,1047,1206,2675,4358,23,1685,497,1029,2460,15333,11844,1393,11.76122931
Ettrema - Sassafras - Budawang,0,0,4,3,14,5,0,3,0,0,6,40,34,4,11.76470588
Cowra Region,45,46,352,320,829,1374,6,641,134,276,900,4939,3763,443,11.77252192
Claymore - Eagle Vale - Raby,274,129,1136,1271,2775,5497,22,1362,592,552,4025,17645,13068,1539,11.7768595
Browns Plains,83,25,359,341,924,1694,4,393,148,198,1328,5490,3964,467,11.78102926
Jamestown,32,48,296,262,654,1386,5,429,86,211,762,4164,3191,376,11.78314008
Evans Head,66,45,314,280,912,1298,6,559,122,272,784,4656,3600,425,11.80555556
Butler - Merriwa - Ridgewood,157,161,1067,1192,2786,5135,12,764,416,765,4657,17114,11692,1385,11.84570647
Fairfield - East,164,43,821,692,1104,3858,8,1264,731,751,2764,12187,8672,1028,11.85424354
Edgeworth - Cameron Park,171,97,849,836,2555,3406,9,1182,304,539,3147,13097,9411,1117,11.86908936
Wauchope,93,110,676,665,1928,2654,17,986,282,695,2128,10228,7405,879,11.87035787
Culburra Beach,66,70,282,307,938,1193,0,551,115,340,598,4457,3519,418,11.87837454
Reynella,99,85,673,658,1822,3003,0,615,252,279,1707,9199,7213,857,11.88132538
Charleville,28,35,266,188,503,1208,6,468,75,232,831,3832,2769,329,11.88154568
Bundaberg East - Kalkie,48,48,331,236,857,1504,11,460,98,215,1059,4866,3592,427,11.88752784
Canley Vale - Canley Heights,167,50,1324,843,1308,5792,26,2122,1319,546,3414,16916,12956,1541,11.89410312
Virginia,26,39,189,209,710,763,0,129,62,103,542,2780,2135,254,11.8969555
Maffra,111,192,814,797,2428,3360,22,1402,252,675,2429,12480,9376,1117,11.9133959
Narrabri,83,52,412,319,1039,1797,3,729,153,345,1367,6297,4585,547,11.9302072
Dawesville - Bouvard,70,79,387,468,1176,1799,3,343,172,209,1248,5944,4487,536,11.94562068
Narrogin,32,53,255,224,591,1224,8,354,105,247,853,3942,2842,340,11.96340605
Strathpine - Brendale,134,108,709,755,1866,3375,7,741,247,348,2077,10368,7943,951,11.97280624
Beerwah,68,84,477,488,1301,2098,9,524,196,389,1536,7177,5252,629,11.97638995
Broadmeadows,140,71,557,513,897,2538,19,1271,398,520,2088,9019,6411,768,11.97941039
Cranbourne South,77,98,522,625,1532,2180,13,586,167,277,1662,7753,5814,697,11.98830409
Griffith (NSW),168,146,1018,755,2475,4279,18,1756,499,844,3305,15257,11108,1332,11.99135758
Kilmore - Broadford,156,179,760,900,2313,3359,6,1170,287,639,2605,12375,9131,1095,11.99211477
Telina - Toolooa,51,54,345,273,1154,1520,8,264,95,119,1364,5235,3752,450,11.99360341
Sorell - Richmond,111,94,513,502,1403,2431,7,727,193,347,1453,7783,5983,718,12.00066856
Clifton - Greenmount,48,47,311,307,729,1379,0,469,95,209,849,4441,3383,406,12.00118238
Goulburn,292,235,1262,1474,3507,5510,20,2009,597,1258,3835,19995,14902,1789,12.00509999
Wallan,169,189,853,1021,2611,3863,14,1054,305,552,3454,14082,10076,1211,12.0186582
Mundijong,64,64,382,342,1084,1865,0,304,131,171,1167,5578,4240,510,12.02830189
Pakenham - North,190,191,954,1214,3060,4057,11,1100,314,416,4114,15623,11093,1335,12.03461642
Gloucester,39,55,334,307,764,1243,4,628,167,281,751,4588,3556,428,12.0359955
Gordonvale - Trinity,81,86,500,495,1556,2115,3,522,174,337,1831,7704,5536,667,12.0484104
Tamworth - East,210,196,1220,1250,3207,5055,30,1768,558,911,3724,18126,13491,1626,12.05247943
Rockhampton Region - North,41,45,261,202,720,1226,0,305,78,187,695,3760,2878,347,12.05698402
Benalla,118,152,599,718,1576,2673,11,1145,221,646,1451,9301,7204,869,12.06274292
Murray,26,25,139,134,362,708,3,140,44,100,472,2146,1574,190,12.07115629
Swan Hill,62,123,639,554,1473,2658,11,1067,233,546,1793,9163,6824,824,12.07502931
Manoora,42,47,291,250,711,1336,10,317,139,304,1043,4492,3145,380,12.08267091
Shepparton - South,175,326,1200,1186,2967,5469,28,2182,544,925,4164,19155,14066,1701,12.09299019
Banora Point,173,156,1011,1111,2484,4369,9,1304,460,754,2310,14138,11074,1340,12.10041539
Capel,35,47,327,295,831,1435,4,278,117,194,987,4558,3377,409,12.11134143
Bairnsdale,120,169,870,947,2212,3456,18,1433,334,877,2349,12787,9561,1159,12.12216295
Moree,71,57,475,359,1042,2015,9,778,175,515,1509,6998,4974,603,12.12303981
Narrabri Region,27,38,295,219,536,1290,0,466,107,226,937,4132,2969,360,12.12529471
Myrtleford,44,66,277,282,721,1182,6,482,124,262,655,4108,3191,387,12.12785961
Lakes Entrance,110,135,578,677,1699,2430,16,886,249,625,1324,8733,6784,823,12.13148585
Rosebud - McCrae,212,286,1252,1512,3356,5233,20,2016,541,1330,2801,18555,14424,1750,12.13255685
Alexander Heights - Koondoola,128,79,675,611,1363,3338,16,679,372,348,2075,9688,7265,882,12.14039917
Loganlea,101,76,487,476,1244,2299,10,554,226,277,1806,7546,5463,664,12.15449387
Serpentine - Jarrahdale,28,36,249,257,688,1053,0,172,84,171,718,3462,2573,313,12.16478818
Forster-Tuncurry Region,99,48,356,383,1182,1387,6,497,175,323,973,5429,4133,503,12.17033632
Gowrie (Qld),71,60,376,390,1241,1559,0,359,115,200,1584,5948,4164,507,12.17579251
Corangamite - North,34,63,342,309,722,1407,7,621,97,339,867,4810,3604,439,12.1809101
Shoal Point - Bucasia,44,59,327,310,1053,1416,4,237,80,90,1337,4951,3524,430,12.20204313
Smithfield - Wetherill Park,210,82,1078,978,1862,4469,16,1649,879,697,2915,14838,11226,1370,12.20381258
Humpty Doo,78,105,466,524,1735,1864,18,349,189,331,1753,7402,5318,649,12.20383603
Gnowangerup,11,25,174,133,328,855,4,122,67,72,507,2298,1719,210,12.21640489
Emu Park,50,60,319,289,862,1400,0,418,106,255,931,4691,3505,429,12.23965763
Christies Beach,101,114,591,583,1576,2791,8,583,247,354,1497,8436,6585,806,12.23993926
Shortland - Jesmond,146,51,635,416,1312,3241,11,810,172,471,1217,8477,6789,832,12.25511857
Toodyay,59,47,258,301,702,1248,4,254,102,191,590,3750,2969,364,12.26002021
Marangaroo,114,82,629,543,1261,3041,8,677,374,360,1792,8878,6726,825,12.26583408
Mount Isa Region,34,20,190,122,454,838,0,278,53,141,562,2689,1986,244,12.28600201
Bunyip - Garfield,83,96,542,552,1582,2086,5,740,176,360,1589,7815,5866,721,12.29116945
Edens Landing - Holmview,69,64,395,457,1020,1801,6,328,143,164,1552,5997,4281,528,12.33356692
Beaufort,41,55,239,272,581,1030,3,424,73,217,660,3593,2716,335,12.33431517
Meekatharra,20,27,157,103,351,731,0,202,55,158,355,2166,1653,204,12.34119782
Para Hills,161,124,907,866,2262,4092,16,872,357,405,2528,12589,9656,1192,12.34465617
Light,64,99,595,510,1490,2564,3,620,201,306,1775,8218,6137,758,12.35131172
Biloela,52,43,335,218,881,1408,0,458,79,203,1183,4860,3474,430,12.37766264
Forster,165,148,934,947,2259,3646,23,1491,464,832,1893,12799,10074,1247,12.37839984
Mildura - South,118,173,880,805,1929,3669,17,1548,315,705,2469,12629,9455,1171,12.38498149
Bakewell,32,34,169,169,582,752,3,86,67,62,600,2558,1896,235,12.39451477
Longford - Loch Sport,36,49,272,274,767,977,3,402,90,244,601,3720,2875,357,12.4173913
Korumburra,93,123,549,546,1544,2275,3,830,185,417,1604,8169,6148,765,12.44307092
Kojonup,24,31,263,197,467,1220,0,262,86,169,768,3491,2554,318,12.45105717
Naracoorte Region,18,22,156,178,291,698,5,147,62,60,451,2085,1574,196,12.4523507
Camperdown,39,41,216,179,500,887,3,451,62,237,541,3155,2377,296,12.45267143
Perth - Evandale,81,43,317,292,836,1439,3,385,129,239,824,4603,3540,441,12.45762712
Parkhurst - Kawana,73,65,397,294,1041,1882,4,446,109,340,1425,6058,4293,535,12.46214768
Wetherill Park Industrial,4,0,0,0,6,17,0,0,7,0,0,32,32,4,12.5
Moyne - East,59,80,394,458,951,1570,9,610,139,335,1303,5902,4264,533,12.5
Chidlow,29,34,166,191,518,723,0,103,64,119,492,2443,1832,229,12.5
Irymple,48,84,446,384,1101,1736,3,664,149,323,1321,6266,4622,578,12.50540891
Shepparton Region - West,103,125,576,587,1380,2424,9,1027,199,507,1711,8643,6425,804,12.51361868
Miandetta - Don,40,28,235,227,615,922,0,269,85,88,706,3215,2421,303,12.51548947
Falcon - Wannanup,74,76,582,596,1476,2352,5,476,205,298,1309,7455,5848,732,12.51709986
Pimpama,84,58,418,565,1223,1736,3,238,148,194,2024,6691,4473,560,12.51956182
Bruthen - Omeo,76,124,465,529,1304,1933,6,730,137,394,1237,6940,5309,665,12.52589942
Towong,61,85,377,433,1042,1435,12,580,135,317,853,5345,4175,523,12.52694611
Bonnyrigg Heights - Bonnyrigg,169,66,1122,873,1305,4714,18,1483,1092,426,2749,14006,10831,1357,12.52885237
Delacombe,68,94,453,423,1170,1902,6,653,132,238,1350,6486,4898,615,12.55614537
Balonne,30,36,289,249,481,1265,0,393,78,210,855,3889,2824,355,12.57082153
York - Beverley,45,41,341,322,704,1481,0,338,128,315,752,4460,3393,427,12.58473327
Moree Region,28,51,331,287,562,1402,0,489,102,301,1115,4672,3256,410,12.59213759
Daintree,53,74,367,325,1060,1501,3,389,141,335,1023,5278,3920,494,12.60204082
Echuca,103,196,942,842,2355,3585,18,1526,272,868,2434,13137,9835,1241,12.61820031
Busselton,235,274,1640,1590,4172,7004,14,1440,654,1001,4727,22746,17018,2149,12.62780585
Kalgoorlie,125,109,691,494,1923,3098,8,640,213,353,2418,10095,7324,925,12.62971054
Gladstone,71,42,335,246,940,1399,0,396,107,217,796,4554,3541,448,12.65179328
Yarra Valley,181,240,938,1097,2753,3974,18,1192,343,719,2857,14317,10741,1359,12.65245322
Laurieton - Bonny Hills,218,186,1118,1163,3037,4124,27,1596,543,969,2239,15223,12015,1522,12.66749896
Kulin,14,44,290,188,481,1357,9,289,82,160,781,3688,2747,348,12.66836549
Thornton - Millers Forest,141,105,641,697,1902,2526,5,748,233,192,2209,9400,6999,887,12.67323903
Deloraine,65,50,379,317,764,1539,7,644,152,285,891,5073,3897,494,12.67641776
Horsley Park - Kemps Creek,65,16,291,227,653,1075,0,443,168,163,698,3795,2934,372,12.67893661
Halls Head - Erskine,175,171,1158,1246,2700,5016,12,965,425,620,2693,15174,11861,1504,12.68021246
Hampton Park - Lynbrook,315,127,1277,1360,2646,5496,22,1578,697,667,4432,18627,13528,1719,12.70697812
Howard Springs,72,48,323,290,1255,1204,4,182,106,174,568,4228,3486,443,12.70797476
Dodges Ferry - Lewisham,104,71,487,483,1361,2009,7,515,167,282,1326,6811,5203,662,12.72342879
Manunda,56,39,273,253,689,1156,3,319,102,262,749,3901,2890,368,12.73356401
Migratory - Offshore - Shipping (NSW),6,0,26,27,51,93,0,32,13,34,35,320,251,32,12.74900398
Bendigo Region - North,45,74,265,266,758,1097,8,416,91,204,778,3994,3012,384,12.74900398
Glass House Mountains,67,57,381,415,976,1530,0,372,156,202,1018,5180,3960,505,12.75252525
Melton South,328,203,1213,1270,3136,5347,30,1669,475,756,4810,19239,13673,1744,12.75506473
Dubbo - West,99,64,547,469,1261,2166,9,716,213,351,1825,7732,5556,710,12.77897768
No Usual Address (Qld),161,97,633,597,1692,2667,14,841,272,424,656,8050,6970,891,12.78335725
Drayton - Harristown,132,82,653,525,1507,2644,6,1016,205,421,1597,8799,6781,867,12.78572482
Swan View - Greenmount - Midvale,136,131,744,736,1761,3339,10,775,276,478,1813,10187,7896,1011,12.80395137
Branxton - Greta - Pokolbin,120,92,648,623,1914,2244,12,817,230,345,2126,9180,6709,860,12.81860188
Drouin,164,224,985,1004,2764,3738,17,1466,339,693,3028,14425,10704,1373,12.82698057
Woodcroft,129,110,787,838,1928,3355,9,585,260,325,2080,10401,7996,1026,12.83141571
St Albans - South,171,65,965,662,1131,3785,11,1839,711,572,2139,12044,9333,1201,12.86831673
Aldinga,179,178,886,997,2457,3859,16,717,356,500,3122,13273,9651,1243,12.87949435
Maclean - Yamba - Iluka,199,180,1113,1026,2764,4188,23,1560,529,1001,2064,14649,11584,1492,12.87983425
Tweed Heads,260,186,1230,1248,2970,5147,11,1434,521,1077,2317,16397,13003,1676,12.88933323
Old Beach - Otago,50,48,297,293,799,1202,3,232,133,206,775,4045,3064,395,12.89164491
The Entrance,209,146,957,951,2306,3864,13,1308,424,878,2131,13185,10176,1312,12.89308176
Tea Gardens - Hawks Nest,80,60,349,415,888,1277,5,486,212,308,447,4543,3788,489,12.90918691
Deeragun,208,184,1411,1295,4205,5469,15,842,342,376,5547,19887,13964,1803,12.91177313
Mildura - North,146,199,1088,918,2283,4181,31,1847,398,918,3025,15033,11090,1433,12.92155095
Orbost,72,89,412,395,895,1625,6,754,187,397,927,5758,4434,573,12.92286874
Bateau Bay - Killarney Vale,260,175,1487,1456,3644,5511,21,1710,589,1095,3936,19895,14864,1922,12.93057051
Mandurah - North,186,165,985,1027,2746,4136,12,727,367,433,3393,14158,10332,1336,12.93070074
Tamworth Region,204,171,1225,1134,3016,4348,31,1799,442,937,3433,16740,12370,1600,12.934519
Tewantin,119,118,653,810,1621,2720,10,579,243,634,1470,8981,6877,890,12.94168969
Lawnton,74,84,352,404,948,1617,11,338,128,204,1016,5157,3937,510,12.95402591
Gulliver - Currajong - Vincent,74,76,513,373,1289,2088,3,539,147,275,1491,6880,5114,663,12.96441142
Lalor,292,161,1315,1077,1939,5067,11,2852,913,839,3462,17929,13628,1768,12.97329028
Australind - Leschenault,121,179,1099,1002,2868,4410,4,722,371,412,3688,14867,10767,1399,12.99340578
Atherton,121,100,710,636,1682,2783,6,919,218,541,1849,9555,7165,931,12.99371947
Pooraka - Cavan,129,43,479,402,973,2078,3,637,256,262,1166,6437,5009,651,12.99660611
Kyogle,87,77,485,435,1018,1915,9,760,202,344,1096,6426,4986,649,13.01644605
Gray,32,36,166,154,443,711,9,189,73,102,617,2516,1797,234,13.02170284
Balga - Mirrabooka,196,123,1005,895,1805,4445,20,1085,586,634,3228,14025,10163,1324,13.02764932
Newtown (Qld),117,85,632,497,1476,2596,8,803,171,352,1610,8356,6394,834,13.04347826
Somerville,212,232,1188,1411,3216,4626,13,1228,387,579,3015,16105,12511,1632,13.04452082
Nagambie,47,44,264,278,643,986,3,381,82,228,548,3497,2721,355,13.04667402
Rosemeadow - Glen Alpine,306,163,1262,1272,2710,5494,27,1398,632,673,4003,17940,13264,1731,13.05036188
Werribee - East,291,159,1010,1013,2274,4342,33,1627,443,681,3219,15084,11184,1460,13.05436338
Boyne Island - Tannum Sands,82,111,611,539,1828,2369,6,412,178,244,2118,8502,6140,804,13.09446254
Petermann - Simpson,26,18,112,87,249,414,8,189,81,300,289,1780,1191,156,13.09823678
Goondiwindi,40,41,440,300,836,1750,5,455,106,263,1258,5494,3973,521,13.11351623
Parklands - Camdale,96,63,405,372,848,1743,11,612,155,339,1141,5780,4300,564,13.11627907
St Clair,293,117,1311,1190,2960,5518,16,1180,531,485,3740,17340,13115,1721,13.12237896
Scone,63,50,365,318,932,1283,4,512,118,344,1099,5080,3637,478,13.14270003
Moama,49,64,411,337,897,1506,9,611,114,316,946,5249,3987,524,13.14271382
Seaford (SA),226,225,1444,1466,3671,5911,15,965,465,635,4135,19153,14383,1895,13.17527637
Geeveston - Dover,69,38,222,227,470,994,0,371,107,196,527,3219,2496,329,13.18108974
Youngtown - Relbia,62,59,318,297,740,1360,3,382,107,155,760,4242,3327,439,13.19507063
West Gladstone,51,42,300,178,796,1236,4,289,77,147,688,3813,2978,393,13.19677636
Ingle Farm,218,126,986,807,2150,4187,18,1145,430,445,2399,12906,10062,1330,13.2180481
Ipswich - East,230,189,1132,1079,2675,4589,20,1455,365,669,3180,15576,11727,1551,13.22588897
Lockyer Valley - West,168,116,725,680,1710,3072,9,903,229,388,2197,10205,7620,1009,13.24146982
Wamuran,58,40,254,243,689,1067,4,238,67,97,674,3429,2658,352,13.24303988
Alligator,71,34,240,185,589,993,11,373,106,267,731,3602,2604,345,13.24884793
Wolffdene - Bahrs Scrub,75,64,373,387,969,1591,3,254,127,122,1149,5127,3856,512,13.2780083
Anindilyakwa,35,14,114,62,158,589,0,158,105,408,617,2250,1225,163,13.30612245
Green Valley,135,56,886,713,1133,3625,9,934,604,334,2347,10774,8093,1077,13.30779686
Penguin - Sulphur Creek,67,59,333,310,793,1285,9,444,141,282,806,4536,3448,459,13.31206497
Chittaway Bay - Tumbi Umbi,212,146,1057,1103,2722,3857,10,1067,447,552,2892,14069,10625,1415,13.31764706
Walcha,34,34,215,193,421,800,3,335,82,190,488,2803,2125,283,13.31764706
Point Vernon,53,76,381,362,854,1463,3,487,131,330,921,5076,3825,510,13.33333333
Pakenham - South,363,264,1589,1789,4118,6160,19,1782,542,886,6517,24022,16619,2216,13.33413563
Royal Park - Hendon - Albert Park,59,55,424,321,857,1586,3,545,183,261,873,5166,4032,538,13.34325397
Spearwood,116,111,603,542,1427,2327,9,806,296,405,1307,7929,6217,830,13.35049059
King Island,17,16,108,90,255,417,4,100,43,89,229,1374,1056,141,13.35227273
Jamisontown - South Penrith,297,138,1100,1069,2662,4517,14,1257,434,508,3325,15324,11491,1535,13.35828039
Ballajura,207,154,1250,1019,2464,5515,7,933,508,443,3320,15816,12053,1611,13.36596698
Cocos (Keeling) Islands,9,7,30,23,67,95,0,19,101,49,110,503,344,46,13.37209302
Port Sorell,78,58,410,394,950,1485,4,540,161,267,796,5142,4079,546,13.38563373
Pitt Town - McGraths Hill,159,97,700,743,1945,2515,0,684,285,258,2167,9562,7137,956,13.39498389
Derwent Park - Lutana,65,47,257,181,592,1176,6,360,81,174,690,3617,2753,369,13.40355975
Clontarf,88,86,551,543,1273,2149,9,542,156,370,1238,7015,5407,725,13.40854448
Redland Islands,152,107,580,635,1478,2299,11,738,238,464,1007,7722,6251,839,13.4218525
Stanthorpe Region,82,54,396,329,849,1583,0,526,142,264,1000,5222,3958,532,13.44113188
Victor Harbor,211,177,1017,1060,2215,4242,10,1117,403,750,1719,12921,10452,1405,13.44240337
Caloundra - West,209,171,1354,1415,3216,4999,7,1106,394,615,4039,17532,12878,1734,13.46482373
Dungog,125,100,611,632,1554,2081,6,878,221,454,1562,8224,6208,836,13.46649485
Strathalbyn,84,74,505,529,1139,1903,4,502,182,334,1227,6482,4921,663,13.47287137
Umina - Booker Bay - Patonga,432,221,1510,1577,3652,5910,23,1991,689,1205,3553,20760,16002,2163,13.51706037
Clinton - New Auckland,116,111,870,542,2405,3280,6,604,170,259,3024,11394,8111,1097,13.52484281
Springvale South,150,75,795,560,883,3105,11,1256,701,410,1927,9870,7533,1020,13.54042214
Alexandra Hills,190,159,1122,1116,2770,4383,13,774,333,408,2984,14255,10863,1471,13.54137899
Narangba,181,206,1168,1303,3046,4553,9,680,316,310,4527,16314,11477,1555,13.5488368
Safety Bay - Shoalwater,153,133,726,810,1829,2940,8,576,275,513,1662,9618,7443,1012,13.59666801
Kelmscott,133,106,621,582,1428,2719,0,465,254,351,1633,8301,6317,860,13.61405731
Prospect Vale - Blackstone,90,60,482,381,996,1913,7,545,159,270,987,5896,4639,632,13.62362578
Nerang - Mount Nathan,249,200,1262,1321,2999,4994,12,1077,444,716,3452,16720,12552,1711,13.63129382
Redcliffe,158,99,645,697,1453,2540,6,782,239,521,1171,8304,6612,902,13.64186328
Picton - Tahmoor - Buxton,310,159,1041,1091,2911,3984,21,1122,420,795,3342,15200,11063,1510,13.64910061
Delahey,84,56,611,444,885,2272,5,847,289,262,1253,7017,5502,751,13.64958197
Ulladulla,224,216,1013,975,2550,3788,16,1367,497,899,2186,13725,10640,1453,13.65601504
West Wodonga,172,234,977,1062,2497,3700,11,1144,331,516,3020,13662,10126,1383,13.65791033
Epping - East,205,94,793,734,1454,3262,10,1098,341,462,2299,10756,7995,1092,13.65853659
Whittlesea,114,95,530,531,1424,1867,9,669,174,410,1470,7288,5408,739,13.66494083
Bridgetown - Boyup Brook,50,68,453,398,943,1712,3,389,167,292,1055,5523,4176,571,13.67337165
Wandin - Seville,86,100,532,558,1415,1857,3,504,185,248,1447,6940,5245,718,13.68922784
Westbury,56,39,283,247,553,1043,7,421,99,202,635,3596,2759,378,13.70061617
Langwarrin,217,336,1667,1781,4317,5956,17,1413,479,693,4352,21235,16190,2220,13.712168
Golden Plains - North,72,77,265,292,791,1066,6,374,84,224,838,4081,3019,414,13.71315005
Kangaroo Flat - Golden Square,238,296,1315,1160,3149,4891,28,1973,420,967,3123,17567,13477,1849,13.71967055
Baldivis,282,259,1832,1867,4878,6785,8,821,559,555,7081,24925,17289,2373,13.7254902
Newman,40,28,231,185,724,818,0,92,56,97,969,3243,2177,299,13.73449701
Westcourt - Bungalow,52,53,372,298,695,1441,11,393,157,293,590,4354,3471,477,13.74243734
Narre Warren - South West,233,97,826,864,1732,3249,14,1029,361,372,2336,11107,8399,1156,13.76354328
Bass Hill - Georges Hall,353,110,1427,1235,2099,5767,15,1813,909,913,4444,19081,13724,1890,13.77149519
Port Adelaide,135,107,779,597,1430,3034,14,992,319,430,1430,9273,7413,1021,13.77310131
Leumeah - Minto Heights,328,119,1042,1053,2401,4220,23,1160,453,499,2930,14233,10804,1489,13.78193262
Murwillumbah,110,106,597,553,1335,2131,13,798,261,562,1584,8042,5896,813,13.7890095
Loganholme - Tanah Merah,122,119,683,680,1778,2678,4,424,219,243,2167,9107,6697,924,13.79722264
Port Macquarie Region,62,73,366,364,966,1203,10,455,138,197,786,4614,3631,501,13.79785183
Hamilton (Vic.),122,137,704,581,1565,2569,17,1096,185,558,1515,9048,6975,963,13.80645161
Anna Bay,74,63,403,391,1086,1305,6,430,154,231,894,5033,3908,540,13.81780962
Pemberton,57,66,337,299,643,1469,0,328,130,217,738,4283,3328,460,13.82211538
Airlie - Whitsundays,120,98,747,858,2061,2573,15,288,219,307,1846,9134,6981,965,13.82323449
Toowoomba - West,151,132,917,776,2211,3483,3,781,216,330,2683,11693,8680,1200,13.82488479
Yankalilla,95,72,393,440,874,1621,9,416,129,249,761,5055,4045,560,13.84425216
Epping - South,111,63,508,452,790,1949,8,816,225,256,1211,6388,4921,682,13.85897175
Goolwa - Port Elliot,151,175,794,824,1735,3243,12,806,339,677,1302,10047,8068,1120,13.88200297
Donnybrook - Balingup,59,72,391,371,859,1550,5,313,142,275,947,4982,3760,522,13.88297872
Nambour,227,236,1366,1331,3232,5063,19,1259,430,834,3581,17582,13167,1829,13.89078757
Horsham,201,229,1135,1043,2480,4197,26,1671,288,761,2887,14914,11266,1565,13.89135452
Mount Isa,199,162,1064,632,2932,4089,15,921,241,496,3586,14329,10247,1425,13.90650922
Hillcrest,100,68,535,478,1216,2127,3,360,172,215,1524,6790,5051,703,13.91803603
Tennant Creek,39,38,152,110,274,639,8,299,86,208,558,2409,1643,229,13.93791844
Wagga Wagga Region,178,138,1049,837,2406,3588,12,1239,338,575,2929,13292,9788,1365,13.94564773
Fairfield,216,60,1012,822,1063,3757,17,1387,898,474,2424,12133,9235,1288,13.94694099
Waratah,49,56,243,239,595,941,0,274,85,147,601,3235,2487,348,13.99276236
The Oaks - Oakdale,167,85,589,591,1676,2115,13,551,230,327,1838,8174,6009,841,13.99567316
Ripley,61,41,325,302,874,1188,3,178,67,90,967,4101,3044,427,14.02759527
Alexandra,87,99,440,447,1044,1542,3,637,151,346,779,5586,4461,626,14.03272809
Victoria Point,224,192,1034,1114,2464,4048,6,876,373,484,2388,13203,10331,1450,14.03542735
Maitland,103,63,448,394,1097,1525,10,589,154,239,1270,5883,4374,614,14.03749428
Horsley - Kembla Grange,145,84,568,668,1508,1935,4,519,221,245,1963,7882,5674,797,14.04652802
Woy Woy - Blackwall,251,150,927,883,2000,3545,12,1294,384,765,1963,12182,9454,1328,14.04696425
Berrimah,16,15,70,54,161,263,0,113,26,79,214,1012,719,101,14.0472879
Albury Region,137,119,822,784,1832,2695,13,997,271,535,2395,10604,7674,1078,14.04743289
Exmouth,34,41,293,233,702,1018,7,185,104,168,758,3539,2613,368,14.08342901
Hastings - Somers,296,327,1478,1612,3819,5307,16,1577,488,865,3732,19510,14913,2101,14.08837927
Forestier - Tasman,53,27,146,148,354,578,4,233,55,138,298,2039,1603,226,14.09856519
Highland Park,99,74,575,615,1259,2097,0,404,180,238,1405,6945,5302,748,14.10788382
Nambucca Heads Region,95,84,563,470,1291,1806,14,702,228,370,1301,6927,5256,742,14.11719939
Richmond - Clarendon,245,141,954,957,2105,3509,6,1156,392,501,2240,12206,9465,1340,14.15742208
Kings Meadows - Punchbowl,58,32,323,217,626,1179,4,361,112,179,692,3787,2916,413,14.16323731
Yangebup,87,93,481,436,1185,1828,0,377,170,164,1329,6160,4667,661,14.16327405
Craignish - Dundowran Beach,77,63,332,328,900,1207,0,281,138,138,828,4297,3331,472,14.16991894
Horsham Region,36,72,227,275,511,906,0,264,75,189,641,3193,2363,335,14.17689378
Currumbin Waters,123,95,663,669,1496,2407,3,521,225,330,1637,8176,6209,881,14.18908037
St Johns Park - Wakeley,135,45,884,594,907,2991,8,1180,747,312,1624,9430,7494,1064,14.19802509
Carabooda - Pinjar,6,7,53,37,101,196,0,43,17,22,92,578,464,66,14.22413793
